"Index","strategy"
2003-10-03,0.202252491612514
2003-10-06,0.207088482658113
2003-10-07,0.206944583349413
2003-10-08,0.203988847819369
2003-10-09,0.207559377859322
2003-10-10,0.212520469961744
2003-10-13,0.217596967127216
2003-10-14,0.217255140574906
2003-10-15,0.211909127291595
2003-10-16,0.213265265848858
2003-10-17,0.206265964284676
2003-10-20,0.212555578485229
2003-10-21,0.217277090519797
2003-10-22,0.20535014980371
2003-10-23,0.194356820565178
2003-10-24,0.191372472188431
2003-10-27,0.197089429270593
2003-10-28,0.211969020380446
2003-10-29,0.212665020070945
2003-10-30,0.214117502896157
2003-10-31,0.212290629197964
2003-11-03,0.22103687347717
2003-11-04,0.220486901076442
2003-11-05,0.21911011018835
2003-11-06,0.216454486265276
2003-11-07,0.219860184597197
